"ID","Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","In stock?","Stock","Regular price","Categories","Taxonomy: kechoo_application","Taxonomy: kechoo_blade_technology","Taxonomy: kechoo_cut_material","Taxonomy: kechoo_machine","Meta: _kechoo_blade_length","Meta: _kechoo_blade_width","Meta: _kechoo_blade_thickness","Meta: _kechoo_tooth_pitch","Meta: _kechoo_tooth_form","Meta: _kechoo_backing_material","Meta: _kechoo_tooth_material","Meta: _kechoo_recommended_range","Meta: _kechoo_pack_quantity","Meta: _kechoo_dispatch_estimate","Meta: _kechoo_moq","Meta: _kechoo_custom_size","Meta: _kechoo_selection_rationale"
"","simple","KH-FB-1650-16-050-4","Hardened Food & Bone Blade 1650 × 16 × 0.50 mm — 4 TPI","1","0","visible","Compact hot-selling length for butcher and food-processing band saws; confirm machine blade length before ordering.","<strong>Hardened bandsaw blade</strong> for Food & Bone cutting. Specification: 1650 mm × 16 mm × 0.50 mm — 4 TPI. Compact hot-selling length for butcher and food-processing band saws; confirm machine blade length before ordering.","1","36","18.90","Food & Bone","Food & Bone","Hardened","Frozen Meat & Bone","Butcher Band Saws","1650 mm","16 mm","0.50 mm","4 TPI","Regular tooth, alternate set","High-carbon steel","Induction-hardened high-carbon steel","Fresh or frozen meat, poultry, fish, and small bone sections","10 blades / pack","5–7 business days from China","10 blades for custom production","Available by technical quotation","Compact hot-selling length for butcher and food-processing band saws; confirm machine blade length before ordering."
"","simple","KH-FB-1830-16-050-4","Hardened Food & Bone Blade 1830 × 16 × 0.50 mm — 4 TPI","1","0","visible","Common medium butcher-saw length with a practical 4 TPI tooth pattern; verify machine compatibility.","<strong>Hardened bandsaw blade</strong> for Food & Bone cutting. Specification: 1830 mm × 16 mm × 0.50 mm — 4 TPI. Common medium butcher-saw length with a practical 4 TPI tooth pattern; verify machine compatibility.","1","28","20.90","Food & Bone","Food & Bone","Hardened","Frozen Meat & Bone","Butcher Band Saws","1830 mm","16 mm","0.50 mm","4 TPI","Regular tooth, alternate set","High-carbon steel","Induction-hardened high-carbon steel","Fresh or frozen meat and medium bone sections","10 blades / pack","5–7 business days from China","10 blades for custom production","Available by technical quotation","Common medium butcher-saw length with a practical 4 TPI tooth pattern; verify machine compatibility."
"","simple","KH-FB-2090-16-056-4","Hardened Food & Bone Blade 2090 × 16 × 0.56 mm — 4 TPI","1","0","visible","Heavier 0.56 mm gauge for production butchering and continuous frozen cutting.","<strong>Hardened bandsaw blade</strong> for Food & Bone cutting. Specification: 2090 mm × 16 mm × 0.56 mm — 4 TPI. Heavier 0.56 mm gauge for production butchering and continuous frozen cutting.","1","24","23.50","Food & Bone","Food & Bone","Hardened","Frozen Meat & Bone","Butcher Band Saws","2090 mm","16 mm","0.56 mm","4 TPI","Regular tooth, alternate set","High-carbon steel","Induction-hardened high-carbon steel","Frozen meat, carcass, and medium bone sections","10 blades / pack","5–7 business days from China","10 blades for custom production","Available by technical quotation","Heavier 0.56 mm gauge for production butchering and continuous frozen cutting."
"","simple","KH-FB-2260-19-056-3","Hardened Food & Bone Blade 2260 × 19 × 0.56 mm — 3 TPI","1","0","visible","Coarse 3 TPI pitch for deep bone and large-section butchering.","<strong>Hardened bandsaw blade</strong> for Food & Bone cutting. Specification: 2260 mm × 19 mm × 0.56 mm — 3 TPI. Coarse 3 TPI pitch for deep bone and large-section butchering.","1","20","26.00","Food & Bone","Food & Bone","Hardened","Frozen Meat & Bone","Butcher Band Saws","2260 mm","19 mm","0.56 mm","3 TPI","Regular tooth, alternate set","High-carbon steel","Induction-hardened high-carbon steel","Large frozen carcass sections and heavy bone","10 blades / pack","5–7 business days from China","10 blades for custom production","Available by technical quotation","Coarse 3 TPI pitch for deep bone and large-section butchering."
"","simple","KH-WD-1400-635-036-6","Hardened Wood Blade 1400 × 6.35 × 0.36 mm — 6 TPI","1","0","visible","55-1/8"" length for 8"" bench-top band saws; 6 TPI balances chip clearance and cut control.","<strong>Hardened bandsaw blade</strong> for Wood cutting. Specification: 1400 mm × 6.35 mm × 0.36 mm — 6 TPI. 55-1/8"" length for 8"" bench-top band saws; 6 TPI balances chip clearance and cut control.","1","40","12.50","Wood","Wood","Hardened","Softwood & Hardwood","Woodworking Band Saws","1400 mm","6.35 mm","0.36 mm","6 TPI","Regular tooth, alternate set","High-carbon steel","Induction-hardened high-carbon steel","General-purpose ripping and contour cutting in softwood and hardwood","2 blades / pack","5–7 business days from China","5 packs for custom production","Welded-to-length service available","55-1/8"" length for 8"" bench-top band saws; 6 TPI balances chip clearance and cut control."
"","simple","KH-WD-1426-635-036-6","Hardened Wood Blade 1426 × 6.35 × 0.36 mm — 6 TPI","1","0","visible","56-1/8"" length fits common 8"" Craftsman and WEN band saws.","<strong>Hardened bandsaw blade</strong> for Wood cutting. Specification: 1426 mm × 6.35 mm × 0.36 mm — 6 TPI. 56-1/8"" length fits common 8"" Craftsman and WEN band saws.","1","38","12.50","Wood","Wood","Hardened","Softwood & Hardwood","Woodworking Band Saws","1426 mm","6.35 mm","0.36 mm","6 TPI","Regular tooth, alternate set","High-carbon steel","Induction-hardened high-carbon steel","Softwood, hardwood, and plywood in bench-top band saws","2 blades / pack","5–7 business days from China","5 packs for custom production","Welded-to-length service available","56-1/8"" length fits common 8"" Craftsman and WEN band saws."
"","simple","KH-WD-1445-635-036-6","Hardened Wood Blade 1445 × 6.35 × 0.36 mm — 6 TPI","1","0","visible","56-7/8"" length for popular 8"" and 9"" band saws.","<strong>Hardened bandsaw blade</strong> for Wood cutting. Specification: 1445 mm × 6.35 mm × 0.36 mm — 6 TPI. 56-7/8"" length for popular 8"" and 9"" band saws.","1","42","12.50","Wood","Wood","Hardened","Softwood & Hardwood","Woodworking Band Saws","1445 mm","6.35 mm","0.36 mm","6 TPI","Regular tooth, alternate set","High-carbon steel","Induction-hardened high-carbon steel","Wood, plywood, and composition board","2 blades / pack","5–7 business days from China","5 packs for custom production","Welded-to-length service available","56-7/8"" length for popular 8"" and 9"" band saws."
"","simple","KH-WD-1511-635-036-6","Hardened Wood Blade 1511 × 6.35 × 0.36 mm — 6 TPI","1","0","visible","59-1/2"" length for 9"" Ryobi, Skil, and Delta wood band saws.","<strong>Hardened bandsaw blade</strong> for Wood cutting. Specification: 1511 mm × 6.35 mm × 0.36 mm — 6 TPI. 59-1/2"" length for 9"" Ryobi, Skil, and Delta wood band saws.","1","34","13.00","Wood","Wood","Hardened","Softwood & Hardwood","Woodworking Band Saws","1511 mm","6.35 mm","0.36 mm","6 TPI","Regular tooth, alternate set","High-carbon steel","Induction-hardened high-carbon steel","Softwood, hardwood, and light resawing","2 blades / pack","5–7 business days from China","5 packs for custom production","Welded-to-length service available","59-1/2"" length for 9"" Ryobi, Skil, and Delta wood band saws."
"","simple","KH-WD-1575-635-036-6","Hardened Wood Blade 1575 × 6.35 × 0.36 mm — 6 TPI","1","0","visible","62"" length covers a wide range of 10"" to 12"" band saws.","<strong>Hardened bandsaw blade</strong> for Wood cutting. Specification: 1575 mm × 6.35 mm × 0.36 mm — 6 TPI. 62"" length covers a wide range of 10"" to 12"" band saws.","1","30","13.50","Wood","Wood","Hardened","Softwood & Hardwood","Woodworking Band Saws","1575 mm","6.35 mm","0.36 mm","6 TPI","Regular tooth, alternate set","High-carbon steel","Induction-hardened high-carbon steel","General-purpose wood cutting in floor-standing band saws","2 blades / pack","5–7 business days from China","5 packs for custom production","Welded-to-length service available","62"" length covers a wide range of 10"" to 12"" band saws."
"","simple","KH-WD-1715-635-036-6","Hardened Wood Blade 1715 × 6.35 × 0.36 mm — 6 TPI","1","0","visible","67-1/2"" length for mid-size floor-standing wood band saws.","<strong>Hardened bandsaw blade</strong> for Wood cutting. Specification: 1715 mm × 6.35 mm × 0.36 mm — 6 TPI. 67-1/2"" length for mid-size floor-standing wood band saws.","1","26","14.00","Wood","Wood","Hardened","Softwood & Hardwood","Woodworking Band Saws","1715 mm","6.35 mm","0.36 mm","6 TPI","Regular tooth, alternate set","High-carbon steel","Induction-hardened high-carbon steel","Softwood and hardwood in 12"" and 14"" band saws","2 blades / pack","5–7 business days from China","5 packs for custom production","Welded-to-length service available","67-1/2"" length for mid-size floor-standing wood band saws."
"","simple","KH-WD-1829-635-051-6","Hardened Wood Blade 1829 × 6.35 × 0.51 mm — 6 TPI","1","0","visible","72"" length with 0.51 mm gauge for stiffer, straighter cuts in heavier stock.","<strong>Hardened bandsaw blade</strong> for Wood cutting. Specification: 1829 mm × 6.35 mm × 0.51 mm — 6 TPI. 72"" length with 0.51 mm gauge for stiffer, straighter cuts in heavier stock.","1","24","14.50","Wood","Wood","Hardened","Softwood & Hardwood","Woodworking Band Saws","1829 mm","6.35 mm","0.51 mm","6 TPI","Regular tooth, alternate set","High-carbon steel","Induction-hardened high-carbon steel","Heavier wood sections and general production cutting","2 blades / pack","5–7 business days from China","5 packs for custom production","Welded-to-length service available","72"" length with 0.51 mm gauge for stiffer, straighter cuts in heavier stock."
"","simple","KH-WD-2083-635-036-6","Hardened Wood Blade 2083 × 6.35 × 0.36 mm — 6 TPI","1","0","visible","82"" length for larger floor-standing wood band saws.","<strong>Hardened bandsaw blade</strong> for Wood cutting. Specification: 2083 mm × 6.35 mm × 0.36 mm — 6 TPI. 82"" length for larger floor-standing wood band saws.","1","20","15.50","Wood","Wood","Hardened","Softwood & Hardwood","Woodworking Band Saws","2083 mm","6.35 mm","0.36 mm","6 TPI","Regular tooth, alternate set","High-carbon steel","Induction-hardened high-carbon steel","Long-stroke wood band saws and larger workshops","2 blades / pack","5–7 business days from China","5 packs for custom production","Welded-to-length service available","82"" length for larger floor-standing wood band saws."
"","simple","KH-WD-2375-635-036-6","Hardened Wood Blade 2375 × 6.35 × 0.36 mm — 6 TPI","1","0","visible","93-1/2"" length for 14"" and larger woodworking band saws.","<strong>Hardened bandsaw blade</strong> for Wood cutting. Specification: 2375 mm × 6.35 mm × 0.36 mm — 6 TPI. 93-1/2"" length for 14"" and larger woodworking band saws.","1","18","16.50","Wood","Wood","Hardened","Softwood & Hardwood","Woodworking Band Saws","2375 mm","6.35 mm","0.36 mm","6 TPI","Regular tooth, alternate set","High-carbon steel","Induction-hardened high-carbon steel","Full-size wood band saws and resawing","2 blades / pack","5–7 business days from China","5 packs for custom production","Welded-to-length service available","93-1/2"" length for 14"" and larger woodworking band saws."
"","simple","KH-WD-1445-127-036-14","Hardened Wood Blade 1445 × 12.7 × 0.36 mm — 14 TPI","1","0","visible","Fine 14 TPI pitch for clean cuts in plywood and composite board.","<strong>Hardened bandsaw blade</strong> for Wood cutting. Specification: 1445 mm × 12.7 mm × 0.36 mm — 14 TPI. Fine 14 TPI pitch for clean cuts in plywood and composite board.","1","22","13.00","Wood","Wood","Hardened","Wood, Plywood & Composite","Woodworking Band Saws","1445 mm","12.7 mm","0.36 mm","14 TPI","Regular tooth, raker set","High-carbon steel","Induction-hardened high-carbon steel","Plywood, composition board, and thin-section wood","2 blades / pack","5–7 business days from China","5 packs for custom production","Welded-to-length service available","Fine 14 TPI pitch for clean cuts in plywood and composite board."
"","simple","KH-WD-1575-127-051-14","Hardened Wood Blade 1575 × 12.7 × 0.51 mm — 14 TPI","1","0","visible","14 TPI on a wider 12.7 mm blade for smooth finish cuts in sheet goods.","<strong>Hardened bandsaw blade</strong> for Wood cutting. Specification: 1575 mm × 12.7 mm × 0.51 mm — 14 TPI. 14 TPI on a wider 12.7 mm blade for smooth finish cuts in sheet goods.","1","20","15.00","Wood","Wood","Hardened","Wood, Plywood & Composite","Woodworking Band Saws","1575 mm","12.7 mm","0.51 mm","14 TPI","Regular tooth, raker set","High-carbon steel","Induction-hardened high-carbon steel","Fine cuts in plywood, plastics, and non-ferrous metals","2 blades / pack","5–7 business days from China","5 packs for custom production","Welded-to-length service available","14 TPI on a wider 12.7 mm blade for smooth finish cuts in sheet goods."
"","simple","KB-M42-2375-19-081-10-14","M42 Bi-Metal Blade 2375 × 19 × 0.81 mm — 10/14 TPI","1","0","visible","93-1/2"" × 3/4"" (0.032"") spec for 14"" vertical and floor-standing 2-wheel band saws; balanced variable pitch for mixed metal sections.","<strong>Bi-Metal bandsaw blade</strong> for Metal cutting. Specification: 2375 mm × 19 mm × 0.81 mm — 10/14 variable TPI. 93-1/2"" × 3/4"" (0.032"") spec for 14"" vertical and floor-standing 2-wheel band saws; balanced variable pitch for mixed metal sections.","1","32","19.99","Metal","Metal","Bi-Metal","Steel Tube & Profile","Vertical Metal Band Saws","2375 mm","19 mm","0.81 mm","10/14 variable TPI","Variable tooth, raker set","Alloy spring-steel backing","M42 high-speed steel, 8% cobalt edge","Thin, medium, and thick gauge metal tube and profile","1 welded loop","5–7 business days from China","3 loops for custom production","Welded-to-length service available","93-1/2"" × 3/4"" (0.032"") spec for 14"" vertical and floor-standing 2-wheel band saws; balanced variable pitch for mixed metal sections."
"","simple","KB-M42-2375-19-081-4-6","M42 Bi-Metal Blade 2375 × 19 × 0.81 mm — 4/6 TPI","1","0","visible","Coarser variable pitch provides chip space for solid bars and heavy sections.","<strong>Bi-Metal bandsaw blade</strong> for Metal cutting. Specification: 2375 mm × 19 mm × 0.81 mm — 4/6 variable TPI. Coarser variable pitch provides chip space for solid bars and heavy sections.","1","26","22.00","Metal","Metal","Bi-Metal","Carbon Steel","Vertical Metal Band Saws","2375 mm","19 mm","0.81 mm","4/6 variable TPI","Variable tooth, raker set","Alloy spring-steel backing","M42 high-speed steel, 8% cobalt edge","Medium-to-large solid carbon-steel sections","1 welded loop","5–7 business days from China","3 loops for custom production","Welded-to-length service available","Coarser variable pitch provides chip space for solid bars and heavy sections."
"","simple","KB-M42-2362-19-081-5-8","M42 Bi-Metal Blade 2362 × 19 × 0.81 mm — 5/8 TPI","1","0","visible","93"" × 3/4"" spec; versatile variable pitch for mixed-section fabrication shops.","<strong>Bi-Metal bandsaw blade</strong> for Metal cutting. Specification: 2362 mm × 19 mm × 0.81 mm — 5/8 variable TPI. 93"" × 3/4"" spec; versatile variable pitch for mixed-section fabrication shops.","1","28","21.00","Metal","Metal","Bi-Metal","Steel Tube & Profile","Vertical Metal Band Saws","2362 mm","19 mm","0.81 mm","5/8 variable TPI","Variable tooth, raker set","Alloy spring-steel backing","M42 high-speed steel, 8% cobalt edge","Tube, profile, and bundles in general fabrication","1 welded loop","5–7 business days from China","3 loops for custom production","Welded-to-length service available","93"" × 3/4"" spec; versatile variable pitch for mixed-section fabrication shops."
"","simple","KB-M42-2375-127-064-6","M42 Bi-Metal Blade 2375 × 12.7 × 0.64 mm — 6 TPI","1","0","visible","93-1/2"" × 1/2"" (0.025"") spec; 6 TPI for solid bars per M42 selection guidance.","<strong>Bi-Metal bandsaw blade</strong> for Metal cutting. Specification: 2375 mm × 12.7 mm × 0.64 mm — 6 TPI. 93-1/2"" × 1/2"" (0.025"") spec; 6 TPI for solid bars per M42 selection guidance.","1","30","17.00","Metal","Metal","Bi-Metal","Carbon Steel","Vertical Metal Band Saws","2375 mm","12.7 mm","0.64 mm","6 TPI","Regular tooth, raker set","Alloy spring-steel backing","M42 high-speed steel, 8% cobalt edge","Solid carbon-steel bars and thicker sections","1 welded loop","5–7 business days from China","3 loops for custom production","Welded-to-length service available","93-1/2"" × 1/2"" (0.025"") spec; 6 TPI for solid bars per M42 selection guidance."
"","simple","KB-M42-2375-127-064-24","M42 Bi-Metal Blade 2375 × 12.7 × 0.64 mm — 24 TPI","1","0","visible","Fine 24 TPI pitch keeps two or more teeth engaged on thin-wall sections to reduce tooth stripping.","<strong>Bi-Metal bandsaw blade</strong> for Metal cutting. Specification: 2375 mm × 12.7 mm × 0.64 mm — 24 TPI. Fine 24 TPI pitch keeps two or more teeth engaged on thin-wall sections to reduce tooth stripping.","1","22","17.00","Metal","Metal","Bi-Metal","Thin Gauge Metal","Vertical Metal Band Saws","2375 mm","12.7 mm","0.64 mm","24 TPI","Regular tooth, raker set","Alloy spring-steel backing","M42 high-speed steel, 8% cobalt edge","Thin-wall tube and thin gauge sheet metal","1 welded loop","5–7 business days from China","3 loops for custom production","Welded-to-length service available","Fine 24 TPI pitch keeps two or more teeth engaged on thin-wall sections to reduce tooth stripping."
"","simple","KB-M42-2083-127-064-10-14","M42 Bi-Metal Blade 2083 × 12.7 × 0.64 mm — 10/14 TPI","1","0","visible","82"" × 1/2"" spec; 10/14 TPI for tube and profile per M42 guidance.","<strong>Bi-Metal bandsaw blade</strong> for Metal cutting. Specification: 2083 mm × 12.7 mm × 0.64 mm — 10/14 variable TPI. 82"" × 1/2"" spec; 10/14 TPI for tube and profile per M42 guidance.","1","26","16.00","Metal","Metal","Bi-Metal","Steel Tube & Profile","Vertical Metal Band Saws","2083 mm","12.7 mm","0.64 mm","10/14 variable TPI","Variable tooth, raker set","Alloy spring-steel backing","M42 high-speed steel, 8% cobalt edge","Tube and profile from thin to medium gauge","1 welded loop","5–7 business days from China","3 loops for custom production","Welded-to-length service available","82"" × 1/2"" spec; 10/14 TPI for tube and profile per M42 guidance."
"","simple","KB-M42-2032-127-064-8-12","M42 Bi-Metal Blade 2032 × 12.7 × 0.64 mm — 8/12 TPI","1","0","visible","80"" × 1/2"" spec; 8/12 TPI suited to mid-range tube and profile diameters.","<strong>Bi-Metal bandsaw blade</strong> for Metal cutting. Specification: 2032 mm × 12.7 mm × 0.64 mm — 8/12 variable TPI. 80"" × 1/2"" spec; 8/12 TPI suited to mid-range tube and profile diameters.","1","28","15.50","Metal","Metal","Bi-Metal","Steel Tube & Profile","Vertical Metal Band Saws","2032 mm","12.7 mm","0.64 mm","8/12 variable TPI","Variable tooth, raker set","Alloy spring-steel backing","M42 high-speed steel, 8% cobalt edge","Tube and profile with outer diameter from 40 mm to 150 mm","1 welded loop","5–7 business days from China","3 loops for custom production","Welded-to-length service available","80"" × 1/2"" spec; 8/12 TPI suited to mid-range tube and profile diameters."
"","simple","KB-M42-1842-127-064-10-14","M42 Bi-Metal Blade 1842 × 12.7 × 0.64 mm — 10/14 TPI","1","0","visible","72-1/2"" × 1/2"" spec for smaller vertical band saws cutting tube and profile.","<strong>Bi-Metal bandsaw blade</strong> for Metal cutting. Specification: 1842 mm × 12.7 mm × 0.64 mm — 10/14 variable TPI. 72-1/2"" × 1/2"" spec for smaller vertical band saws cutting tube and profile.","1","24","15.00","Metal","Metal","Bi-Metal","Steel Tube & Profile","Vertical Metal Band Saws","1842 mm","12.7 mm","0.64 mm","10/14 variable TPI","Variable tooth, raker set","Alloy spring-steel backing","M42 high-speed steel, 8% cobalt edge","Thin-to-medium gauge tube and profile","1 welded loop","5–7 business days from China","3 loops for custom production","Welded-to-length service available","72-1/2"" × 1/2"" spec for smaller vertical band saws cutting tube and profile."
"","simple","KB-M42-1715-127-064-14","M42 Bi-Metal Blade 1715 × 12.7 × 0.64 mm — 14 TPI","1","0","visible","67-1/2"" × 1/2"" spec; 14 TPI for general-purpose light metal cutting.","<strong>Bi-Metal bandsaw blade</strong> for Metal cutting. Specification: 1715 mm × 12.7 mm × 0.64 mm — 14 TPI. 67-1/2"" × 1/2"" spec; 14 TPI for general-purpose light metal cutting.","1","26","14.50","Metal","Metal","Bi-Metal","Thin Gauge Metal","Vertical Metal Band Saws","1715 mm","12.7 mm","0.64 mm","14 TPI","Regular tooth, raker set","Alloy spring-steel backing","M42 high-speed steel, 8% cobalt edge","Thin gauge sheet metal and light sections","1 welded loop","5–7 business days from China","3 loops for custom production","Welded-to-length service available","67-1/2"" × 1/2"" spec; 14 TPI for general-purpose light metal cutting."
"","simple","KB-M42-1638-127-064-14-18","M42 Bi-Metal Blade 1638 × 12.7 × 0.64 mm — 14/18 TPI","1","0","visible","64-1/2"" × 1/2"" spec; 14/18 TPI for small-diameter tube and profile.","<strong>Bi-Metal bandsaw blade</strong> for Metal cutting. Specification: 1638 mm × 12.7 mm × 0.64 mm — 14/18 variable TPI. 64-1/2"" × 1/2"" spec; 14/18 TPI for small-diameter tube and profile.","1","22","14.50","Metal","Metal","Bi-Metal","Thin Gauge Metal","Vertical Metal Band Saws","1638 mm","12.7 mm","0.64 mm","14/18 variable TPI","Variable tooth, raker set","Alloy spring-steel backing","M42 high-speed steel, 8% cobalt edge","Tube and profile with outer diameter under 20 mm","1 welded loop","5–7 business days from China","3 loops for custom production","Welded-to-length service available","64-1/2"" × 1/2"" spec; 14/18 TPI for small-diameter tube and profile."
"","simple","KB-M42-1575-127-064-10-14","M42 Bi-Metal Blade 1575 × 12.7 × 0.64 mm — 10/14 TPI","1","0","visible","62"" × 1/2"" spec; versatile 10/14 TPI for general metal-cutting band saws.","<strong>Bi-Metal bandsaw blade</strong> for Metal cutting. Specification: 1575 mm × 12.7 mm × 0.64 mm — 10/14 variable TPI. 62"" × 1/2"" spec; versatile 10/14 TPI for general metal-cutting band saws.","1","30","14.00","Metal","Metal","Bi-Metal","Steel Tube & Profile","Vertical Metal Band Saws","1575 mm","12.7 mm","0.64 mm","10/14 variable TPI","Variable tooth, raker set","Alloy spring-steel backing","M42 high-speed steel, 8% cobalt edge","Thin, medium, and thick gauge metal sections","1 welded loop","5–7 business days from China","3 loops for custom production","Welded-to-length service available","62"" × 1/2"" spec; versatile 10/14 TPI for general metal-cutting band saws."
"","simple","KB-M42-1445-127-064-10-14","M42 Bi-Metal Blade 1445 × 12.7 × 0.64 mm — 10/14 TPI","1","0","visible","56-7/8"" × 1/2"" spec for compact 9"" to 10"" metal band saws.","<strong>Bi-Metal bandsaw blade</strong> for Metal cutting. Specification: 1445 mm × 12.7 mm × 0.64 mm — 10/14 variable TPI. 56-7/8"" × 1/2"" spec for compact 9"" to 10"" metal band saws.","1","26","13.50","Metal","Metal","Bi-Metal","Steel Tube & Profile","Vertical Metal Band Saws","1445 mm","12.7 mm","0.64 mm","10/14 variable TPI","Variable tooth, raker set","Alloy spring-steel backing","M42 high-speed steel, 8% cobalt edge","Tube and profile in compact metal band saws","1 welded loop","5–7 business days from China","3 loops for custom production","Welded-to-length service available","56-7/8"" × 1/2"" spec for compact 9"" to 10"" metal band saws."
